ResourceID,Department,ResourceType,UsageHours,Date,Availability
R4120,Neurology,Doctor,3,26-02-2024,Available
R6450,Neurology,Equipment,0,31-07-2024,Under Maintenance
R3212,Pediatric,Doctor,0,23-09-2024,Unavailable
R3470,Pediatric,Nurse,5,03-02-2024,In Use
R4198,Orthopedics,Equipment,0,05-04-2024,Under Maintenance
R6653,General Medicine,Technician,4,19-02-2024,Available
R9325,General Medicine,Technician,2,30-09-2024,Available
R5653,Pediatric,Doctor,6,08-07-2024,Available
R9221,Oncology,Technician,1,23-11-2024,Available
R4576,General Medicine,Equipment,9,10-01-2024,Available
R4576,General Medicine,Equipment,9,10-01-2024,Available
R5250,Oncology,Equipment,1,01-07-2024,In Use
R9942,Oncology,Room,0,15-02-2024,Under Maintenance
R9637,Oncology,Technician,9,23-04-2024,Available
R6571,Neurology,Nurse,2,22-05-2024,Available
R8275,General Medicine,Nurse,5,01-07-2024,Available
R3024,General Medicine,Nurse,5,28-07-2024,Available
R9407,Orthopedics,Nurse,4,17-11-2024,Available
R4375,Pediatric,Technician,4,17-03-2024,Available
R4311,Pediatric,Nurse,1,03-03-2024,Available
R6892,Pediatric,Doctor,6,09-05-2024,Available
R5035,General Medicine,Equipment,0,25-05-2024,Under Maintenance
R8869,Oncology,Nurse,6,02-11-2024,Available
R1032,General Medicine,Nurse,9,03-06-2024,Available
R7483,Pediatric,Doctor,0,21-02-2024,Unavailable
R7873,Pediatric,Nurse,0,30-10-2024,Unavailable
R7873,Pediatric,Nurse,0,30-10-2024,Unavailable
R5286,Orthopedics,Doctor,9,07-03-2024,Available
R6508,Orthopedics,Doctor,8,27-02-2024,Available
R7949,Neurology,Nurse,0,03-08-2024,Unavailable
R9477,Oncology,Equipment,0,10-07-2024,Under Maintenance
R4395,Oncology,Doctor,4,29-06-2024,Available
R3146,Orthopedics,Doctor,8,06-04-2024,Available
R2220,Pediatric,Technician,6,08-04-2024,Available
R7334,Oncology,Room,3,03-01-2024,In Use
R1597,Neurology,Equipment,9,08-10-2024,Available
R3553,Pediatric,Room,9,07-07-2024,Available
R3833,Pediatric,Technician,0,08-09-2024,Unavailable
R7417,Orthopedics,Technician,0,28-01-2024,Unavailable
R7417,Orthopedics,Technician,0,28-01-2024,Unavailable
R3526,General Medicine,Nurse,5,15-05-2024,Available
R5504,Pediatric,Nurse,0,12-06-2024,Unavailable
R8032,Pediatric,Technician,6,13-03-2024,Available
R2554,Pediatric,Nurse,0,23-05-2024,Unavailable
R9553,Oncology,Doctor,0,26-01-2024,Unavailable
R1385,Pediatric,Doctor,0,26-03-2024,Unavailable
R8161,General Medicine,Equipment,1,19-12-2024,Available
R5806,Pediatric,Doctor,8,17-03-2024,Available
R1560,Pediatric,Technician,6,20-05-2024,Available
R3933,Neurology,Doctor,8,03-10-2024,Available
